"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"43858",33765,TRUE,0,0,3,NA,1,2,0,1,1,6,NA,3,NA,10,26,0
"43859",90000,FALSE,1,0,5,NA,0,3,0,1,0,6,NA,2,NA,3,20,0
"43860",73733,FALSE,0,0,5,4,0,NA,1,1,1,7,NA,8,NA,2,22,1
"43861",5798,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,1,NA,NA,32,0
"43862",55733,TRUE,1,0,5,3,0,NA,1,1,1,NA,NA,NA,NA,NA,24,1
"43863",79278,FALSE,0,1,5,NA,0,2,1,1,0,6,8,1,NA,2,21,1
"43864",68234,FALSE,0,0,4,2,0,NA,0,1,0,NA,NA,NA,NA,NA,23,1
"43865",25063,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,8,5,3,NA,28,1
"43866",44660,FALSE,0,1,3,NA,0,1,0,1,1,7,8,9,4,1,24,1
"43867",12112,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,2,4,5,NA,NA,30,1
"43868",18514,TRUE,0,0,4,NA,1,1,0,1,0,6,6,9,4,6,26,1
"43869",56640,FALSE,0,0,4,NA,0,1,1,1,0,4,NA,5,NA,4,24,0
"43870",55695,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1
