"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"1",41964,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,4,4,4,NA,NA,26,0
"2",15241,TRUE,0,0,2,NA,3,1,1,1,0,4,5,3,NA,7,27,0
"3",33702,TRUE,1,0,4,NA,1,1,0,1,0,5,5,2,NA,3,25,1
"4",101252,TRUE,1,1,7,5,0,NA,1,1,0,10,NA,0,NA,4,19,0
"5",83023,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,20,1
"6",80756,FALSE,0,0,1,1,1,NA,0,0,0,4,NA,0,NA,6,21,0
"7",85374,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,22,0
"8",68158,FALSE,0,1,3,NA,0,1,0,1,1,7,8,4,6,4,21,1
"9",59944,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,1
"10",68536,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,6,2,3,NA,24,1
"11",17380,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,29,1
"12",33247,TRUE,0,0,2,NA,1,1,0,1,0,7,NA,6,NA,4,25,1
"13",49786,FALSE,0,0,4,3,0,NA,0,1,0,NA,NA,NA,NA,NA,25,0
"14",16962,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0
"15",98435,FALSE,1,1,4,0,0,NA,1,1,0,NA,NA,NA,NA,NA,20,1
"16",31785,TRUE,0,0,7,NA,0,1,1,1,0,3,NA,5,NA,0,25,0
"17",50166,TRUE,1,1,3,3,0,NA,0,1,1,9,NA,8,NA,7,24,1
"18",85832,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,8,NA,NA,22,0
"19",98602,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,0
"20",33026,FALSE,1,0,4,NA,1,2,1,1,1,6,5,3,2,5,25,0
"21",49231,FALSE,1,0,5,NA,0,1,0,1,0,2,NA,9,NA,6,24,0
"22",68280,TRUE,0,0,1,15,0,NA,0,1,0,NA,NA,NA,NA,NA,23,1
"23",902,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0
"24",46301,FALSE,1,1,3,2,1,NA,1,1,0,NA,NA,NA,NA,NA,25,0
"25",98865,TRUE,1,1,2,0,0,NA,1,1,1,NA,NA,NA,NA,NA,20,0
"26",37000,FALSE,1,0,8,NA,2,0,1,0,1,7,6,2,2,6,25,0
"27",51323,FALSE,1,1,15,15,0,NA,1,1,1,NA,NA,NA,NA,NA,25,1
"28",99562,FALSE,0,1,13,10,0,NA,1,1,0,7,NA,4,NA,10,19,0
"29",70127,TRUE,1,1,4,NA,0,2,0,1,0,9,9,4,6,0,22,1
"30",30928,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,27,0
"31",35670,FALSE,1,1,2,NA,0,1,1,1,0,7,6,7,3,2,25,1
"32",58890,FALSE,1,1,3,3,0,NA,0,1,1,NA,NA,NA,NA,NA,24,1
"33",20374,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,4,NA,28,0
"34",59011,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1
"35",8626,TRUE,1,0,1,NA,2,0,0,0,1,5,6,9,3,13,29,1
"36",33528,FALSE,1,1,3,15,0,NA,0,1,1,5,NA,5,NA,3,25,0
"37",67287,TRUE,0,0,4,NA,0,NA,0,0,1,6,5,4,NA,4,23,1
"38",13383,FALSE,1,1,5,NA,2,1,1,1,1,6,5,3,NA,0,28,1
"39",21344,FALSE,0,0,7,NA,1,1,1,1,0,4,4,7,NA,7,26,0
"40",8518,FALSE,0,0,1,NA,1,1,0,1,0,6,5,6,NA,8,29,0
"41",2533,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,33,1
"42",6604,FALSE,0,1,1,1,1,NA,0,1,1,6,NA,6,NA,9,30,1
"43",73520,FALSE,1,0,3,1,0,NA,1,1,0,8,NA,5,NA,7,22,0
"44",83831,FALSE,0,0,6,NA,0,1,1,1,0,6,6,1,3,5,21,0
"45",60030,FALSE,1,0,5,NA,0,1,1,1,1,4,NA,8,NA,6,23,0
"46",84113,TRUE,1,0,5,NA,0,3,1,1,0,7,6,0,2,7,21,0
"47",98518,FALSE,1,1,10,1,0,NA,1,1,1,NA,NA,NA,NA,NA,20,0
"48",86406,FALSE,1,0,3,1,0,NA,1,1,0,7,NA,7,NA,7,21,0
"49",41557,TRUE,0,0,1,1,0,NA,0,1,1,7,3,0,5,2,25,1
"50",93261,FALSE,0,0,4,NA,0,2,0,1,1,1,NA,0,NA,6,19,0
"51",30658,FALSE,1,1,4,1,0,NA,1,1,1,NA,NA,NA,NA,NA,26,0
"52",64464,FALSE,0,1,4,NA,0,0,1,0,0,6,4,3,4,2,22,1
"53",31548,FALSE,0,0,7,NA,2,1,1,1,1,4,5,5,NA,4,25,0
"54",37802,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,7,8,4,NA,27,1
"55",80518,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"56",55723,FALSE,1,1,2,NA,0,1,0,1,0,7,NA,2,NA,5,23,1
"57",64761,FALSE,1,1,2,2,0,NA,0,0,1,NA,NA,NA,NA,NA,23,0
"58",101917,FALSE,0,0,7,4,0,NA,1,1,0,6,7,7,3,5,18,0
"59",37741,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0
"60",14736,FALSE,0,0,8,NA,1,1,0,1,0,3,NA,1,NA,11,27,0
"61",70302,TRUE,0,1,7,NA,1,1,1,1,1,4,6,3,NA,7,21,0
"62",21318,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,NA,NA,26,0
"63",27983,FALSE,0,0,5,NA,1,NA,1,0,0,5,5,5,NA,7,25,0
"64",49750,FALSE,0,0,5,NA,0,1,0,1,1,5,5,1,NA,1,24,0
"65",102295,FALSE,0,0,8,5,0,NA,0,1,0,2,NA,2,NA,4,18,0
"66",85395,FALSE,1,1,4,NA,0,1,1,1,1,9,NA,3,NA,7,21,1
"67",22599,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,7,6,2,NA,26,1
"68",4987,TRUE,0,0,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,32,0
"69",66992,FALSE,0,1,2,15,1,NA,0,1,0,NA,NA,NA,NA,NA,23,0
"70",41448,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,3,5,6,NA,NA,24,0
"71",48666,TRUE,0,0,2,2,1,NA,1,1,0,NA,NA,NA,NA,NA,25,0
"72",57884,FALSE,0,0,3,NA,1,0,0,0,1,4,5,9,NA,5,23,0
"73",41891,FALSE,1,0,4,4,0,NA,0,1,0,NA,NA,NA,NA,NA,26,0
"74",100163,FALSE,1,0,3,2,0,NA,1,1,0,NA,NA,NA,NA,NA,19,0
"75",47993,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,0
"76",92024,FALSE,0,0,3,7,0,NA,1,1,0,5,5,4,4,2,20,0
"77",83911,TRUE,0,0,3,3,0,NA,0,1,0,NA,NA,NA,NA,NA,22,1
"78",61091,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"79",55727,FALSE,1,1,1,NA,0,1,0,1,0,6,5,0,4,5,23,1
"80",67594,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,8,4,NA,22,1
"81",87481,FALSE,0,0,1,1,0,NA,1,1,0,NA,NA,NA,NA,NA,21,0
"82",32739,FALSE,1,0,6,2,0,NA,0,1,0,NA,NA,NA,NA,NA,26,1
"83",22096,TRUE,0,0,1,NA,0,1,0,1,0,6,7,4,NA,1,26,0
"84",32404,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0
"85",52931,FALSE,0,0,4,NA,0,2,0,1,1,3,4,1,NA,8,23,0
"86",13910,FALSE,1,1,3,3,0,NA,0,1,0,6,NA,8,NA,7,29,1
"87",20134,TRUE,0,0,8,NA,1,0,1,0,1,1,5,3,NA,6,26,1
"88",16018,FALSE,1,1,9,NA,0,1,1,1,1,3,4,0,NA,5,27,0
"89",45163,FALSE,1,0,1,NA,0,0,0,0,0,4,4,8,NA,11,24,0
"90",96799,FALSE,0,0,5,2,0,NA,1,1,1,NA,NA,NA,NA,NA,20,0
"91",39101,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,0
"92",18321,FALSE,0,0,4,NA,0,1,0,1,1,5,7,7,6,8,27,0
"93",36903,FALSE,0,0,5,3,1,NA,1,1,1,5,NA,0,NA,NA,25,1
"94",65752,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,1
"95",34083,FALSE,1,1,0,NA,0,0,0,0,0,2,5,0,NA,8,24,1
"96",67474,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"97",17592,FALSE,0,0,1,15,0,NA,0,1,0,5,NA,4,NA,10,28,0
"98",6600,FALSE,0,0,7,NA,1,1,1,1,1,4,4,4,NA,NA,29,0
"99",66582,TRUE,0,0,7,5,1,NA,1,1,0,5,NA,7,NA,3,23,0
"100",52394,FALSE,0,0,3,NA,1,2,1,1,0,6,5,1,4,4,23,0
"101",98721,FALSE,0,1,12,6,1,NA,1,1,1,NA,NA,NA,NA,NA,20,0
"102",35702,FALSE,0,0,6,5,0,NA,0,1,0,6,6,4,6,7,25,0
"103",88123,FALSE,1,0,2,2,0,NA,0,1,0,7,6,9,3,7,21,0
"104",28132,FALSE,1,1,4,NA,1,2,1,1,0,6,5,5,3,3,25,1
"105",18401,TRUE,1,1,7,5,0,NA,1,1,0,5,4,0,3,8,27,1
"106",18845,TRUE,1,1,11,NA,2,1,0,1,1,6,NA,4,NA,8,26,1
"107",53790,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,3,4,0,NA,NA,24,1
"108",27100,FALSE,0,0,4,14,0,NA,1,1,1,NA,NA,NA,NA,NA,26,1
"109",81469,FALSE,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,22,0
"110",49674,TRUE,1,1,3,2,1,NA,1,1,1,NA,NA,NA,NA,NA,24,1
"111",7565,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,3,NA,NA,29,0
"112",85789,FALSE,0,0,2,NA,0,1,0,1,0,7,6,3,4,12,21,0
"113",64289,FALSE,0,0,1,NA,0,1,1,1,1,6,4,9,NA,5,23,0
"114",29101,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"115",95190,FALSE,0,0,7,15,0,NA,0,1,1,5,NA,3,NA,8,20,1
"116",64987,FALSE,0,0,2,NA,1,1,0,1,0,2,4,9,NA,6,22,0
"117",44703,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,7,NA,NA,26,0
"118",92248,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"119",78425,FALSE,0,1,7,NA,1,1,1,1,0,6,NA,5,NA,3,21,0
"120",26766,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,4,NA,NA,28,0
"121",56480,FALSE,1,1,3,15,0,NA,0,1,1,NA,NA,NA,NA,NA,24,1
"122",75580,TRUE,1,1,6,NA,0,5,1,1,1,3,4,7,NA,1,21,1
"123",89600,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,22,1
"124",12212,FALSE,0,0,2,15,1,NA,0,1,1,6,6,2,3,6,29,0
"125",57824,TRUE,1,0,4,NA,0,0,1,0,1,2,5,0,NA,4,22,1
"126",12774,FALSE,1,0,6,NA,2,2,0,1,0,3,7,1,NA,7,27,0
"127",90837,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"128",67362,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"129",26905,FALSE,1,0,8,1,2,NA,1,1,1,NA,NA,NA,NA,NA,27,1
"130",83372,FALSE,0,1,6,NA,0,3,1,1,0,3,5,8,NA,10,21,0
"131",64115,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"132",20345,TRUE,0,0,2,NA,0,1,1,1,1,6,NA,9,NA,8,26,1
"133",68485,FALSE,1,0,7,NA,1,2,1,1,0,4,5,2,NA,3,21,0
"134",46458,TRUE,0,1,15,NA,0,0,1,0,0,7,5,2,NA,6,24,0
"135",47927,FALSE,0,0,9,NA,0,2,1,1,0,5,4,5,NA,1,24,1
"136",50342,TRUE,0,0,3,NA,0,2,1,1,1,5,NA,6,NA,3,23,0
"137",36566,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,1
"138",87145,FALSE,1,0,2,2,0,NA,1,1,1,NA,NA,NA,NA,NA,21,1
"139",80844,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"140",17375,TRUE,0,0,5,NA,0,2,0,1,0,7,6,6,NA,NA,27,0
"141",31975,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,9,7,7,NA,NA,27,1
"142",91430,FALSE,0,1,6,6,0,NA,1,1,0,NA,NA,NA,NA,NA,20,0
"143",6607,FALSE,1,0,8,7,1,NA,1,1,1,NA,NA,NA,NA,NA,31,0
"144",43108,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,4,7,NA,NA,24,1
"145",13500,FALSE,1,0,5,4,0,NA,1,1,1,6,6,2,4,9,29,0
"146",7068,FALSE,1,1,0,NA,0,0,1,0,0,7,NA,8,NA,12,29,0
"147",73083,TRUE,1,1,4,NA,0,1,0,1,1,9,NA,7,NA,5,22,1
"148",78203,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"149",100696,TRUE,1,1,2,NA,0,1,0,1,1,6,6,1,4,6,18,0
"150",24013,FALSE,1,0,5,3,0,NA,1,1,0,6,8,1,2,3,26,0
"151",92841,FALSE,0,0,3,NA,0,1,1,1,1,6,5,5,3,10,19,0
"152",50843,TRUE,0,1,3,NA,0,0,0,0,0,4,4,5,NA,NA,23,1
"153",12367,FALSE,1,1,2,NA,0,1,0,1,0,3,5,3,NA,2,27,1
"154",71611,FALSE,1,0,3,NA,0,1,0,1,1,8,6,2,5,9,23,0
"155",27258,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"156",14150,FALSE,1,1,7,4,2,NA,1,1,1,NA,NA,NA,NA,NA,29,0
"157",27324,TRUE,0,0,3,3,0,NA,0,1,0,7,NA,8,NA,4,27,1
"158",26995,FALSE,1,1,3,6,1,NA,1,1,1,NA,NA,NA,NA,NA,27,0
"159",6898,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,7,4,4,4,NA,29,0
"160",13103,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0
"161",27908,FALSE,0,1,6,NA,0,1,1,1,1,6,5,0,3,6,25,0
"162",83598,FALSE,1,0,7,NA,1,1,1,1,1,6,NA,4,NA,5,21,0
"163",51374,TRUE,0,1,4,2,1,NA,1,1,1,4,NA,5,NA,9,24,0
"164",60970,TRUE,1,0,10,NA,0,2,0,1,0,8,8,0,NA,3,22,0
"165",61302,TRUE,1,1,1,1,0,NA,0,1,1,9,8,4,7,10,23,1
"166",98422,FALSE,1,0,4,4,1,NA,1,1,1,NA,NA,NA,NA,NA,20,0
"167",36391,FALSE,0,0,0,NA,2,1,1,1,1,6,5,9,4,9,26,1
"168",41317,FALSE,1,1,3,NA,1,1,0,1,1,4,5,4,NA,10,24,0
"169",67739,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"170",50854,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,7,2,NA,NA,25,0
"171",62923,FALSE,0,0,4,NA,0,2,0,1,0,6,6,8,NA,8,22,1
"172",44598,FALSE,1,0,4,4,0,NA,0,1,1,NA,NA,NA,NA,NA,25,1
"173",68787,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,22,0
"174",99415,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,3,NA,NA,19,0
"175",78159,FALSE,0,0,4,NA,1,1,1,1,0,7,5,8,4,7,21,0
"176",91300,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,5,NA,20,1
"177",37501,TRUE,0,0,0,NA,0,0,0,0,0,6,5,7,2,5,25,1
"178",84494,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,6,5,3,NA,20,1
"179",62611,FALSE,1,1,4,2,1,NA,1,1,0,5,NA,6,NA,9,23,0
"180",96152,TRUE,0,0,1,1,0,NA,0,0,0,NA,NA,NA,NA,NA,20,1
"181",74847,FALSE,1,1,6,NA,1,0,1,0,0,3,NA,1,NA,6,22,1
"182",102264,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,19,1
"183",24397,FALSE,0,0,2,0,1,NA,0,0,0,6,NA,4,NA,12,28,0
"184",4842,FALSE,0,0,4,NA,2,2,1,1,0,3,NA,1,NA,-2,30,0
"185",46059,TRUE,1,0,3,NA,0,1,0,1,1,6,5,2,2,10,23,1
"186",10293,FALSE,0,0,2,NA,1,1,1,1,1,6,4,7,2,-2,28,0
"187",50027,TRUE,0,1,1,15,0,NA,1,1,0,NA,NA,NA,NA,NA,24,0
"188",85723,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,22,0
"189",87675,FALSE,0,0,1,0,0,NA,0,1,1,NA,NA,NA,NA,NA,21,0
"190",5503,FALSE,1,1,3,NA,1,1,1,1,0,3,4,8,NA,8,31,0
"191",52498,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,24,1
"192",68822,FALSE,1,1,6,NA,0,0,1,0,0,9,4,2,3,11,22,0
"193",52043,TRUE,0,1,2,NA,0,1,0,1,0,6,NA,3,NA,7,23,0
"194",62134,FALSE,0,1,4,NA,0,1,0,1,0,6,4,8,4,2,22,1
"195",38827,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,6,6,5,1,NA,26,0
"196",71322,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"197",21764,TRUE,1,1,2,NA,0,1,1,1,0,7,4,8,3,10,27,1
"198",16239,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,29,0
"199",60598,FALSE,0,0,10,15,1,NA,0,1,0,2,5,7,2,8,23,1
"200",68146,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0
"201",15669,FALSE,0,0,4,3,1,NA,1,1,0,NA,NA,NA,NA,NA,28,0
"202",65176,FALSE,0,0,3,5,0,NA,1,1,1,NA,NA,NA,NA,NA,24,0
"203",33704,FALSE,0,0,15,NA,0,0,0,0,0,10,9,7,6,5,25,0
"204",79683,TRUE,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,22,1
"205",28337,FALSE,1,1,4,4,0,NA,0,1,0,7,NA,4,NA,7,26,0
"206",57891,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,1
"207",14644,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,8,3,NA,NA,29,0
"208",10820,TRUE,0,0,1,NA,1,0,1,0,0,7,4,5,4,3,29,0
"209",63696,FALSE,1,0,7,6,0,NA,1,1,0,NA,NA,NA,NA,NA,23,0
"210",2609,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,33,1
"211",54421,FALSE,0,0,4,NA,1,NA,1,0,1,6,NA,0,NA,5,23,0
"212",56669,TRUE,1,1,2,2,0,NA,0,1,1,NA,NA,NA,NA,NA,25,0
"213",40130,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,7,0,NA,NA,26,0
"214",3894,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,2,NA,NA,32,0
"215",52687,FALSE,1,0,10,NA,2,0,1,0,1,5,7,9,NA,4,24,0
"216",25360,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,9,9,2,7,NA,28,0
"217",93080,FALSE,0,0,2,1,0,NA,0,1,1,NA,NA,NA,NA,NA,21,1
"218",53483,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,6,6,3,NA,25,0
"219",66329,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0
"220",19769,FALSE,0,1,7,NA,2,1,1,1,1,4,NA,6,NA,9,26,0
"221",23484,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,28,0
"222",40375,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0
"223",45670,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,0
"224",8010,FALSE,0,1,4,15,2,NA,1,1,0,NA,NA,NA,NA,NA,30,0
"225",76952,TRUE,0,0,5,NA,0,1,1,1,1,5,7,3,3,6,23,0
"226",102272,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,19,0
"227",91042,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"228",79220,FALSE,0,0,5,NA,0,2,1,1,1,3,5,4,NA,4,20,0
"229",91421,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"230",52623,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,25,0
"231",70657,FALSE,0,0,2,NA,0,1,1,1,0,6,NA,0,NA,6,21,1
"232",24817,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,5,5,5,NA,25,1
"233",31728,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,6,5,9,2,NA,26,0
"234",3270,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,0,NA,NA,33,0
"235",54101,FALSE,1,1,5,3,1,NA,1,1,0,NA,NA,NA,NA,NA,24,0
"236",61049,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,3,5,8,NA,NA,25,1
"237",62001,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,2,NA,22,1
"238",39260,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,0
"239",36705,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,1
"240",54691,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,4,6,2,NA,NA,25,0
"241",87775,FALSE,0,1,2,NA,0,1,1,1,1,5,NA,7,NA,2,20,0
"242",77849,FALSE,0,0,5,NA,0,2,0,1,0,9,NA,3,NA,10,21,1
"243",60757,FALSE,0,0,7,NA,0,1,1,1,1,2,NA,2,NA,-1,23,0
"244",88886,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,22,1
"245",57982,FALSE,0,0,3,NA,0,1,0,1,0,7,7,2,6,5,23,0
"246",45013,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,0
"247",29502,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,1
"248",98874,TRUE,1,0,2,NA,0,0,1,0,0,1,NA,0,NA,8,19,1
"249",67719,FALSE,0,1,3,NA,0,0,0,0,0,7,6,7,4,2,22,1
"250",61413,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"251",3232,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,33,0
"252",99094,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,0
"253",18656,FALSE,1,1,10,NA,0,2,1,1,1,3,NA,7,NA,-1,27,1
"254",47802,FALSE,0,0,13,NA,1,4,1,1,0,7,8,5,5,8,24,0
"255",81863,FALSE,0,1,6,NA,0,2,1,1,1,5,NA,8,NA,8,21,1
"256",55159,FALSE,1,1,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,24,1
"257",58439,FALSE,0,0,6,NA,0,1,1,1,1,7,NA,5,NA,NA,22,0
"258",62273,FALSE,1,0,1,1,1,NA,0,0,1,NA,NA,NA,NA,NA,24,1
"259",7228,FALSE,0,0,10,5,1,NA,1,1,1,NA,NA,NA,NA,NA,30,1
"260",84771,FALSE,0,0,4,NA,0,1,1,1,0,6,5,6,2,7,20,0
"261",21494,FALSE,0,0,8,NA,2,1,1,1,0,4,NA,2,NA,6,26,0
"262",67347,FALSE,1,0,4,2,0,NA,1,1,0,NA,NA,NA,NA,NA,23,0
"263",96924,FALSE,1,0,1,NA,0,0,0,0,0,7,NA,2,NA,6,20,1
"264",31905,FALSE,1,0,3,NA,1,2,1,1,0,6,NA,0,NA,0,25,0
"265",33368,FALSE,0,0,6,NA,1,1,0,1,0,9,NA,4,NA,5,25,1
"266",5800,FALSE,0,0,0,NA,0,0,0,0,0,2,2,2,NA,9,30,1
"267",35738,TRUE,1,1,3,3,0,NA,0,1,1,NA,NA,NA,NA,NA,26,1
"268",96076,TRUE,0,0,3,NA,0,0,1,0,0,5,NA,5,NA,2,19,1
"269",7631,FALSE,1,1,14,8,2,NA,1,0,1,NA,NA,NA,NA,NA,30,0
"270",37246,TRUE,1,1,15,NA,0,4,1,1,1,7,NA,8,NA,5,25,0
"271",63950,FALSE,1,1,5,NA,0,0,1,0,0,4,4,3,NA,7,22,1
"272",73199,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,5,6,NA,NA,23,0
"273",12251,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0
"274",78899,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,7,1,NA,NA,23,0
"275",6515,FALSE,0,0,6,3,2,NA,1,0,1,NA,NA,NA,NA,NA,31,0
"276",6621,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,5,2,3,NA,29,1
"277",65888,FALSE,0,1,3,NA,0,1,0,1,0,5,NA,3,NA,NA,22,0
"278",22518,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,28,1
"279",64662,FALSE,1,1,2,NA,0,2,0,1,0,8,6,4,5,2,22,1
"280",801,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35,0
"281",35463,TRUE,1,1,4,NA,0,1,1,1,0,3,NA,3,NA,0,25,1
"282",52011,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,0
"283",60790,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0
"284",6475,TRUE,0,0,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,31,1
